trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1300,False,"{'a': 0.002, 'e': 0.07442227401699995}",20,13,13.803604045792177,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1301,False,"{'a': 0.002, 'e': 0.07427357821433388}",20,16,7.504717590963911,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1302,False,"{'a': 0.002, 'e': 0.0741251795060797}",35,16,20.495551182175497,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
1303,False,"{'a': 0.002, 'e': 0.07397707729864236}",20,10,15.427389645178774,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1304,False,"{'a': 0.002, 'e': 0.0738292709996129}",25,7,21.542683308407813,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1305,False,"{'a': 0.002, 'e': 0.07368176001776583}",35,13,39.4308800064333,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1306,False,"{'a': 0.002, 'e': 0.0735345437630571}",20,7,27.28726825511643,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1307,False,"{'a': 0.002, 'e': 0.07338762164662144}",25,15,9.465316860966695,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1308,False,"{'a': 0.002, 'e': 0.07324099308077024}",25,8,5.633097146600434,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
1309,False,"{'a': 0.002, 'e': 0.07309465747898901}",25,11,23.562717752943687,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1310,False,"{'a': 0.002, 'e': 0.07294861425593517}",20,13,15.414856534378792,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1311,False,"{'a': 0.002, 'e': 0.07280286282743559}",20,13,6.2021492498052755,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
1312,False,"{'a': 0.002, 'e': 0.07265740261048442}",25,13,2.145577640102914,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
1313,False,"{'a': 0.002, 'e': 0.07251223302324053}",30,13,8.053659646096227,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
1314,False,"{'a': 0.002, 'e': 0.07236735348502546}",25,10,23.896778706087453,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1315,False,"{'a': 0.002, 'e': 0.07222276341632078}",20,15,8.930372008321935,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1316,False,"{'a': 0.002, 'e': 0.0720784622387661}",20,14,13.14517069841327,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1317,False,"{'a': 0.002, 'e': 0.07193444937515645}",20,6,29.508029170447184,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1318,False,"{'a': 0.002, 'e': 0.07179072424944025}",20,8,22.234428641395745,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1319,False,"{'a': 0.002, 'e': 0.07164728628671672}",30,19,6.571759930242088,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1320,False,"{'a': 0.002, 'e': 0.0715041349132339}",20,7,10.417933882236984,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1321,False,"{'a': 0.002, 'e': 0.07136126955638605}",30,16,25.211870642115883,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1322,False,"{'a': 0.002, 'e': 0.0712186896447116}",30,10,23.092416364961146,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
1323,False,"{'a': 0.002, 'e': 0.07107639460789066}",20,11,16.48620724210454,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1324,False,"{'a': 0.002, 'e': 0.07093438387674295}",25,9,-23.47177198831912,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
1325,False,"{'a': 0.002, 'e': 0.0707926568832253}",20,6,21.808266092096193,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1326,False,"{'a': 0.002, 'e': 0.0706512130604296}",30,12,29.68308124953243,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1327,False,"{'a': 0.002, 'e': 0.0705100518425803}",25,1,18.09931165849253,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
